track_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
1HVgOnDJSAnB0kO2pjKbFq,0.171,0.467,0.0349,0.143,0.000147,0.102,0.124
3atToDz9gdlMOHgaurZGHx,0.437,0.0586,0.0339,0.974,0.902,0.111,0.0391
1OBj6j2dmbCIgzTNJKsPNo,0.194,0.977,0.157,2.26e-06,0.849,0.298,0.117
6JKLSrYx0XR3ayYWggoPNV,0.702,0.715,0.0309,0.077,7.71e-06,0.189,0.556
5pMGYjNxev2isV9pm7ATF0,0.604,0.381,0.0265,0.637,0.000694,0.139,0.366
28PuptP3GRGgIM1Faz1fzL,0.789,0.694,0.0726,0.099,0.0,0.0962,0.549
5LV0oQV98daZAUoWnQEW6N,0.528,0.861,0.0518,0.0108,0.0,0.268,0.591
2yBWKK84uebv35lGajIMhc,0.6,0.533,0.0256,0.272,0.0,0.0927,0.626
3fAtiRktRktPCwFO6101TI,0.336,0.788,0.0361,0.105,0.101,0.143,0.322
1ODitWwCi2P2D489FX5CmY,0.559,0.672,0.0417,0.17,0.000238,0.19,0.537
7w9Pi6SUHwlx5fbfBaT4d3,0.415,0.609,0.0324,0.175,0.0,0.107,0.143
3Pb1fkVWodKMbaieSiCcoc,0.744,0.59,0.0394,0.612,0.0,0.0999,0.564
4vUBnMUrlm14rpt8XhcJpL,0.405,0.482,0.0397,0.21,0.908,0.0769,0.032
4T2ZqvihBtgXGffahExxeA,0.844,0.579,0.15,0.0401,0.00015,0.235,0.538
1Uxk2dxmATlKH5quLX2iFG,0.346,0.62,0.0432,0.0822,0.00393,0.599,0.391
1sbnEatovWaQfxQyeAgSCs,0.554,0.693,0.0562,0.354,0.00092,0.834,0.506
4Dygh4Ef0TFQQOvKbLGbXf,0.437,0.869,0.0566,0.000442,0.00137,0.356,0.588
7jHELTAQ6YEutiPJwqlgP6,0.576,0.686,0.046,0.000996,0.000702,0.166,0.556
2rtN2kx5qaFVOUxjvoKQ46,0.661,0.697,0.148,0.262,0.0,0.13,0.867
4GagsETs7qfR3cwQkRcXgb,0.784,0.454,0.14,0.63,0.000502,0.102,0.668
4PZ3p6D3GQcpiaFirr3VNW,0.923,0.538,0.196,0.425,0.0,0.1,0.688
3bMQUvGEAib8rYvKWWKu9m,0.595,0.765,0.0574,0.056,0.851,0.169,0.736
2PL1vyJ1erQfZvDoJ3zMnk,0.855,0.484,0.0514,0.0369,0.00745,0.128,0.923
4B1A052R2n4HGE9JeieF5K,0.643,0.511,0.0329,0.0625,0.00167,0.0845,0.538
6mRBgY035bPtHXGen5XsYg,0.468,0.865,0.0841,4.36e-05,0.0467,0.0866,0.286
3wN0brdVqbMYJdGJ0wD0Za,0.429,0.202,0.0595,0.896,0.000377,0.705,0.185
4KJU5vuwMxqupVqmcAyhYl,0.717,0.444,0.551,0.229,0.0,0.114,0.749
37RDfrKKxwSM4Pgw5MVaxj,0.369,0.4,0.114,0.96,0.00825,0.0806,0.197
2eHkNDZ5b8BqgneCAE7pnN,0.655,0.73,0.0371,0.0386,0.00175,0.0969,0.499
3rLEBpW17OHOovVl0kcFKZ,0.596,0.786,0.0391,0.00715,0.0,0.192,0.788
62qUTJAM7dZgOebu2qB7QB,0.804,0.323,0.305,0.308,0.0,0.15,0.456
5gXcBqIUYtWDLgeL5tMKr1,0.343,0.302,0.0417,0.844,0.000323,0.101,0.0725
3u2jm2FZ4x5p8k3XypzKzv,0.468,0.457,0.0241,0.698,0.0,0.142,0.372
1OdDRqfzpu3PD7SxMunwAo,0.553,0.508,0.449,0.0443,0.0,0.0806,0.487
0EooyHZSoef5x1Y9ByRb8t,0.575,0.0525,0.0508,0.962,0.913,0.0943,0.0588
3loE1dNnQCapiDi0MHCM09,0.468,0.862,0.0432,0.00305,0.00147,0.0758,0.102
6y9S9eg7OQv2WUkxMDubgs,0.671,0.685,0.0407,0.192,0.0,0.0819,0.51
2XziGTbTJ49dIOQNGarDpu,0.632,0.938,0.0389,0.0158,0.0,0.428,0.611
5gdJtkiQvi7uu94qc541B1,0.448,0.953,0.108,0.000332,0.0,0.986,0.27
7zLMWb5soscdJNqMdk819t,0.555,0.497,0.0236,0.025,0.000793,0.264,0.611
6Fb6oeDBzZANhUtBriOF8K,0.167,0.996,0.0623,0.552,0.973,0.894,1e-05
4Szvj7fFprXZhJLjanbTo8,0.463,0.502,0.0495,0.764,0.892,0.183,0.347
2sEq2rC3ynYsT49x7utWnd,0.598,0.221,0.0303,0.907,4.19e-05,0.0723,0.274
3q4MovByQKvWzJFhdb8M56,0.8,0.891,0.0676,0.0142,0.856,0.103,0.414
